# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,0.97,0.11
1.1,0.97,0.11
2.1,0.97,0.11
3.1,0.97,0.11
4.2,0.97,0.11
5.2,0.97,0.11
6.2,0.97,0.11
7.3,1.01,0.11
8.3,1.32,0.11
9.4,1.49,0.11
10.4,1.84,0.11
11.4,2.02,0.11
12.5,2.23,0.22
13.5,2.26,0.22
14.5,2.26,0.22
15.5,2.33,0.22
16.6,2.3,0.22
17.6,2.3,0.22
18.6,2.38,0.22
19.6,2.45,0.22
20.7,2.51,0.22
21.7,2.56,0.22
22.7,2.61,0.22
23.7,2.66,0.22
24.8,2.7,0.22
25.8,2.73,0.22
26.8,2.75,0.22
27.8,2.78,0.22
28.9,2.83,0.22
29.9,2.89,0.22
30.9,2.97,0.22
31.9,3.07,0.22
33.0,3.16,0.22
34.0,3.24,0.22
35.0,3.3,0.22
36.1,3.36,0.22
37.1,3.32,0.22
38.1,3.4,0.22
39.2,3.47,0.22
40.2,3.44,0.22
41.2,3.49,0.22
42.3,3.55,0.22
43.3,3.6,0.22
44.3,3.66,0.22
45.4,3.75,0.22
46.4,3.85,0.22
47.5,3.95,0.22
48.5,4.05,0.22
49.5,4.15,0.22
50.6,4.25,0.22
51.6,4.36,0.22
52.6,4.47,0.22
53.7,4.59,0.22
54.7,4.7,0.22
55.8,4.66,0.22
56.8,4.66,0.22
57.9,4.73,0.22
58.9,4.78,0.22
59.9,4.83,0.22
61.0,4.87,0.22
62.0,4.92,0.22
63.0,4.97,0.22
64.1,5.02,0.22
65.1,5.06,0.22
66.2,5.11,0.22
67.2,5.18,0.22
68.3,5.25,0.22
69.3,5.14,0.22
70.3,4.9,0.22
71.4,4.56,0.22
72.4,4.24,0.22
73.4,4.24,0.22
74.5,4.24,0.22
75.5,4.24,0.22
76.6,4.24,0.22
77.6,4.24,0.22
78.6,4.24,0.22
79.7,4.24,0.22
80.7,4.24,0.22
81.7,4.24,0.22
82.8,4.24,0.22
83.8,4.24,0.22
84.8,4.24,0.22
85.9,4.21,0.22
86.9,4.25,0.22
88.0,4.24,0.22
89.0,4.23,0.22
90.0,4.24,0.22
91.1,4.26,0.22
92.1,4.29,0.22
93.1,4.32,0.22
94.2,4.37,0.22
95.2,4.4,0.22
96.3,4.44,0.22
97.3,4.47,0.22
98.3,4.49,0.22
99.4,4.52,0.22
100.4,4.57,0.22
101.5,4.62,0.22
102.5,4.69,0.22
103.5,4.75,0.22
104.6,4.81,0.22
105.6,4.79,0.22
106.6,4.82,0.22
107.7,4.86,0.22
108.7,4.88,0.22
109.8,4.92,0.22
110.8,4.97,0.22
111.8,5.03,0.22
112.9,5.11,0.22
113.9,5.18,0.22
114.9,5.24,0.22
116.0,5.25,0.22
117.0,5.3,0.22
118.1,5.34,0.22
119.1,5.21,0.22
120.1,5.21,0.22
121.2,5.27,0.22
122.2,4.52,0.22
123.2,4.39,0.22
124.3,4.39,0.22
125.3,4.39,0.22
126.3,4.4,0.22
127.4,4.4,0.22
128.4,4.4,0.22
129.5,4.4,0.22
130.5,4.4,0.22
131.5,4.4,0.22
132.6,4.4,0.22
133.6,4.4,0.22
134.6,4.4,0.22
135.7,4.41,0.22
136.7,4.42,0.22
137.8,4.42,0.22
138.8,4.46,0.22
139.8,4.5,0.22
140.9,4.53,0.22
141.9,4.55,0.22
142.9,4.57,0.22
144.0,4.51,0.22
145.0,4.44,0.22
146.1,4.44,0.22
147.1,4.44,0.22
148.1,4.44,0.22
149.2,4.44,0.22
150.2,4.44,0.22
151.2,4.44,0.22
152.3,4.44,0.22
153.3,4.44,0.22
154.4,4.32,0.22
155.4,4.2,0.22
156.4,4.2,0.22
157.5,4.3,0.22
158.5,4.52,0.22
159.5,5.05,0.88
160.6,5.07,0.88
161.6,5.09,0.88
162.6,5.21,0.88
163.6,5.22,0.88
164.7,5.25,0.88
165.7,5.43,1.07
166.7,6.44,0.57
167.7,6.82,0.95
168.8,6.76,0.95
169.8,6.76,0.95
170.8,6.76,0.95
171.8,6.76,0.95
172.9,6.76,0.95
173.9,6.76,0.95
174.9,6.76,0.95
175.9,6.76,0.95
