# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,15.88,0.64
1.0,2.27,0.11
2.1,2.41,0.11
3.1,2.55,0.22
4.1,2.27,0.22
5.2,2.27,0.22
6.2,2.27,0.22
7.2,2.19,0.22
8.2,2.8,0.22
9.3,2.66,0.88
10.3,2.8,0.88
11.3,3.14,1.04
12.3,4.14,0.48
13.4,4.26,0.48
14.4,4.63,0.61
15.4,5.0,0.61
16.4,5.52,0.61
17.5,6.06,0.61
18.5,6.54,0.61
19.5,6.57,1.76
20.5,7.13,1.04
21.6,8.7,2.58
22.6,10.13,3.98
23.6,6.75,4.51
24.6,6.79,4.51
25.7,6.79,4.51
26.7,6.79,4.51
27.7,6.79,4.54
28.7,6.79,4.51
29.8,6.79,4.51
30.8,6.79,4.51
31.8,6.79,4.51
32.8,6.79,4.54
33.9,6.8,4.7
34.9,8.26,4.7
35.9,9.71,0.64
37.0,10.21,0.64
38.0,10.75,0.64
39.0,11.28,0.64
40.0,11.79,0.64
41.1,11.68,1.76
42.1,11.72,0.58
43.1,11.72,0.58
44.1,11.72,0.58
45.2,11.75,0.58
46.2,11.82,2.83
47.2,11.83,3.04
48.2,11.83,3.05
49.3,11.83,3.05
50.3,11.83,3.05
51.3,11.83,2.92
52.3,12.47,3.05
53.4,13.26,0.61
54.4,13.64,0.49
55.4,13.52,0.49
56.4,13.52,0.49
57.5,13.52,0.49
58.5,13.52,0.49
59.5,13.52,0.49
60.5,13.52,0.49
61.6,13.52,0.49
62.6,13.52,0.49
63.6,13.52,0.49
64.6,13.52,0.49
65.7,13.52,0.49
66.7,13.52,0.49
67.7,13.6,1.1
68.7,13.6,2.28
69.8,13.81,0.58
70.8,13.83,0.58
71.8,13.86,0.58
72.8,13.86,0.63
73.9,13.88,0.61
74.9,13.88,0.61
75.9,13.88,0.61
76.9,13.88,0.61
78.0,13.88,0.61
79.0,13.89,0.61
80.0,13.94,0.61
81.0,14.06,0.61
82.1,14.12,0.61
83.1,14.2,0.63
84.1,14.2,0.52
85.1,14.2,0.52
86.2,14.2,0.52
87.2,14.2,0.52
88.2,14.2,0.52
89.2,14.2,0.52
90.3,14.2,0.52
91.3,14.2,0.52
92.3,14.2,0.52
93.3,14.2,0.52
94.4,14.2,0.52
95.4,14.2,0.52
96.4,14.2,0.52
97.4,14.2,0.52
98.5,14.2,0.52
99.5,14.2,0.52
100.5,14.2,0.52
101.5,14.2,0.52
102.6,14.2,0.52
103.6,14.2,0.52
104.6,14.2,0.52
105.6,14.2,0.52
106.7,14.2,0.52
107.7,14.2,0.52
108.7,14.2,0.52
109.8,14.2,0.52
110.8,14.2,0.52
111.8,14.2,0.52
112.8,14.2,0.52
113.9,14.2,0.52
114.9,14.2,0.52
115.9,14.2,0.52
117.0,14.2,0.52
118.0,14.2,0.52
119.0,14.2,0.52
120.1,14.2,0.52
121.1,14.2,0.52
122.1,14.2,0.52
123.2,14.2,0.52
124.2,14.2,0.52
125.3,14.2,0.52
126.3,14.2,0.52
127.3,14.2,0.52
128.4,14.2,0.52
129.4,14.2,0.52
130.4,14.2,0.52
131.5,14.2,0.52
132.5,14.2,0.52
133.6,14.2,0.52
134.6,14.2,0.52
135.6,14.2,0.52
136.7,14.2,0.52
137.7,14.2,0.52
138.7,14.2,0.52
139.8,14.2,0.52
140.8,14.2,0.52
141.8,14.2,0.52
142.9,14.2,0.52
143.9,14.2,0.52
144.9,14.2,0.52
146.0,14.2,0.52
147.0,14.2,0.52
148.1,14.2,0.52
149.1,14.2,0.52
150.1,14.2,0.52
151.2,14.2,0.52
152.2,14.2,0.52
153.2,14.2,0.52
