# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,14.2,0.52
1.0,14.2,0.52
2.1,14.2,0.52
3.1,14.2,0.52
4.2,14.2,0.52
5.2,14.2,0.52
6.2,14.2,0.52
7.3,1.51,0.11
8.3,1.69,0.11
9.3,1.87,0.13
10.4,1.95,0.22
11.4,2.75,0.22
12.4,2.68,0.88
13.5,2.82,0.88
14.5,3.51,1.01
15.5,4.07,0.48
16.5,4.27,0.61
17.6,4.78,0.61
18.6,5.32,0.61
19.6,5.85,0.61
20.6,6.39,0.61
21.7,6.49,1.76
22.7,7.52,1.54
23.7,6.57,4.51
24.7,6.57,4.51
25.8,6.57,4.51
26.8,6.57,4.51
27.8,6.57,4.51
28.8,6.57,4.54
29.9,6.57,4.54
30.9,6.57,4.54
31.9,6.57,4.54
32.9,6.57,4.54
34.0,6.57,4.45
35.0,7.31,4.7
36.0,9.08,4.7
37.0,9.9,0.64
38.1,10.44,0.64
39.1,10.97,0.64
40.1,11.5,0.64
41.1,12.38,1.11
42.2,11.83,1.76
43.2,11.87,0.58
44.2,11.87,0.58
45.3,11.87,0.58
46.3,12.99,1.7
47.3,11.97,2.89
48.3,11.97,3.05
49.4,11.97,3.05
50.4,11.97,2.92
51.4,11.97,3.05
52.4,11.97,3.02
53.5,13.05,3.05
54.5,13.53,0.49
55.5,13.46,0.49
56.5,13.46,0.49
57.6,13.46,0.49
58.6,13.46,0.49
59.6,13.46,0.49
60.6,13.46,0.49
61.7,13.46,0.49
62.7,13.46,0.49
63.7,13.46,0.49
64.7,13.46,0.49
65.8,13.46,0.49
66.8,13.42,0.49
67.8,13.42,0.49
68.9,13.42,0.49
69.9,13.42,0.49
70.9,13.42,0.49
71.9,13.42,0.49
73.0,13.42,0.49
74.0,13.42,0.49
75.0,13.42,0.49
76.0,13.42,0.49
77.1,13.42,0.49
78.1,13.42,0.49
