# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,1.22,0.11
1.0,1.74,0.11
2.1,1.88,0.11
3.1,2.01,0.22
4.1,2.01,0.22
5.1,2.01,0.22
6.2,2.02,0.22
7.2,2.7,0.22
8.2,2.87,0.88
9.2,2.92,0.88
10.3,4.0,0.42
11.3,4.23,0.48
12.3,4.62,0.61
13.3,5.15,0.61
14.4,5.68,0.61
15.4,6.22,0.61
16.4,6.72,0.61
17.4,6.76,2.79
18.4,10.24,4.04
19.5,6.76,4.48
20.5,6.77,4.51
21.5,6.77,4.51
22.6,6.77,4.51
23.6,6.77,4.51
24.6,6.77,4.51
25.6,6.77,4.51
26.7,6.77,4.51
27.7,6.77,4.51
28.7,6.77,4.48
29.7,6.84,4.7
30.8,8.6,4.7
31.8,9.89,0.64
32.8,10.44,0.64
33.8,10.99,0.64
34.9,11.54,0.64
35.9,12.07,0.64
36.9,12.04,1.76
37.9,12.08,0.58
39.0,12.08,0.58
40.0,12.08,0.58
41.0,13.7,2.17
42.0,12.17,3.08
43.1,12.17,3.02
44.1,12.17,3.05
45.1,12.17,2.92
46.1,12.17,2.99
47.2,12.17,3.05
48.2,13.33,0.8
49.2,13.33,1.16
50.2,13.33,2.25
51.3,13.59,0.64
52.3,13.59,0.64
53.3,13.59,0.64
54.3,13.59,0.64
55.4,13.59,0.64
56.4,13.59,0.64
57.4,13.59,0.64
58.4,13.59,0.64
59.5,13.59,0.64
60.5,13.59,0.64
61.5,13.59,0.64
62.5,13.59,0.64
63.6,13.59,0.64
64.6,13.59,0.64
65.6,13.59,0.64
66.6,13.59,0.64
67.7,13.59,0.64
68.7,13.59,0.64
69.7,13.59,0.64
70.8,13.59,0.64
71.8,13.59,0.64
72.8,13.59,0.64
73.8,13.59,0.64
74.9,13.59,0.64
75.9,13.59,0.64
76.9,13.59,0.64
78.0,13.59,0.64
79.0,13.59,0.64
80.0,13.59,0.64
81.0,13.59,0.64
82.1,13.59,0.64
83.1,13.59,0.64
84.1,13.59,0.64
85.2,13.59,0.64
86.2,13.59,0.64
87.2,13.59,0.64
88.3,13.59,0.64
89.3,13.59,0.64
90.3,13.59,0.64
91.4,13.59,0.64
92.4,13.59,0.64
93.5,13.59,0.64
94.5,13.59,0.64
95.5,13.59,0.64
96.6,13.59,0.64
97.6,13.59,0.64
98.6,13.59,0.64
99.7,13.59,0.64
100.7,13.59,0.64
101.7,13.59,0.64
102.8,13.59,0.64
103.8,13.59,0.64
104.9,13.59,0.64
105.9,13.59,0.64
106.9,13.59,0.64
108.0,13.59,0.64
109.0,13.59,0.64
110.0,13.59,0.64
111.1,13.59,0.64
112.1,13.59,0.64
113.1,13.59,0.64
114.2,13.59,0.64
