# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,13.59,0.64
1.0,13.59,0.64
2.1,13.59,0.64
3.1,13.59,0.64
4.1,13.59,0.64
5.2,13.59,0.64
6.2,13.62,0.64
7.3,14.09,0.64
8.3,1.89,0.11
9.3,2.13,0.11
10.4,2.27,0.11
11.5,2.79,0.22
12.5,2.76,0.88
13.5,2.91,0.88
14.5,3.38,1.01
15.6,4.56,0.57
16.6,4.9,0.95
17.6,4.9,0.95
18.6,4.89,0.95
19.7,4.89,0.95
20.7,4.89,0.95
21.7,4.89,0.95
22.7,4.89,0.95
23.8,4.89,0.95
24.8,4.89,0.95
25.8,4.89,0.95
26.8,4.89,0.95
27.9,4.89,0.95
28.9,4.89,0.95
29.9,4.89,0.95
30.9,4.89,0.95
32.0,5.14,0.95
33.0,5.73,0.95
34.0,6.16,0.95
35.0,5.74,0.95
36.0,6.28,0.95
37.1,6.8,0.95
38.1,7.34,0.95
39.1,7.81,0.95
40.1,7.88,2.64
41.2,11.28,3.86
42.2,8.15,4.45
43.2,8.19,4.45
44.3,8.19,4.45
45.3,8.19,4.45
46.3,8.19,4.45
47.3,8.19,4.42
48.4,8.19,4.42
49.4,8.19,4.42
50.4,8.19,4.42
51.4,8.19,4.45
52.5,8.32,4.64
53.5,9.76,4.64
54.5,11.3,0.39
55.5,11.46,0.39
56.6,11.03,1.73
57.6,11.03,3.86
58.6,11.03,4.42
59.6,11.03,4.42
60.7,11.03,4.42
61.7,11.03,4.42
62.7,11.03,4.45
63.8,11.03,4.45
64.8,11.03,4.45
65.8,11.03,4.45
66.8,11.03,4.45
67.9,11.03,4.45
68.9,11.21,4.64
69.9,12.57,0.39
70.9,13.01,0.39
72.0,12.4,1.73
73.0,12.4,3.17
74.0,12.4,4.42
75.0,12.4,4.45
76.1,12.4,4.45
77.1,12.4,4.45
78.1,12.4,4.42
79.1,12.4,4.42
80.2,12.4,4.42
81.2,12.4,4.42
82.2,12.4,4.42
83.2,12.4,4.45
84.3,12.4,4.64
85.3,12.86,0.39
86.3,13.18,0.39
87.3,12.51,2.67
88.4,12.51,4.42
89.4,12.51,4.42
90.4,12.51,4.42
91.5,12.51,4.42
92.5,12.51,4.45
93.5,12.51,4.45
94.5,12.51,4.45
95.6,12.51,4.45
96.6,12.51,4.48
97.6,12.51,4.48
98.6,12.51,4.45
99.7,12.51,4.64
100.7,12.99,0.39
101.7,12.54,0.98
102.8,12.54,1.17
103.8,12.54,4.42
104.8,12.54,4.45
105.8,12.54,4.45
106.9,12.54,4.45
107.9,12.54,4.45
108.9,12.54,4.45
109.9,12.54,4.45
111.0,12.54,4.45
112.0,12.54,4.45
113.0,12.54,4.45
