# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.91,
1.0,0.92,
2.0,0.92,
3.0,0.93,
4.1,0.93,
5.1,0.93,
6.1,0.93,
7.1,0.93,
8.1,0.93,
9.1,1.0,
10.1,1.41,
11.2,1.37,
12.2,1.7,
13.2,1.81,
14.2,1.84,
15.4,1.86,
16.4,1.86,
17.4,1.87,
18.4,1.87,
19.5,1.87,
20.5,1.87,
21.5,1.87,
22.5,1.87,
23.5,1.87,
24.5,1.87,
25.6,1.87,
26.6,1.87,
27.6,1.87,
28.6,1.87,
29.6,1.87,
30.6,1.87,
31.6,1.87,
32.6,1.87,
33.7,1.87,
34.7,1.87,
35.7,1.88,
36.7,1.92,
37.7,2.04,
38.7,2.05,
39.7,2.07,
40.8,2.1,
41.8,2.17,
42.8,2.29,
43.8,2.17,
44.8,2.17,
45.9,2.16,
46.9,2.28,
47.9,2.21,
48.9,2.28,
49.9,2.11,
50.9,2.21,
51.9,2.32,
53.0,2.42,
54.0,2.52,
55.0,2.62,
56.0,2.72,
57.0,2.82,
58.0,2.92,
59.0,3.02,
60.0,3.11,
61.1,3.09,
62.1,3.2,
63.1,3.31,
64.1,3.41,
65.1,3.51,
66.1,3.61,
67.1,3.26,
68.1,3.35,
69.1,3.45,
70.2,3.55,
71.2,3.61,
72.2,3.66,
73.2,3.7,
74.2,3.75,
75.2,3.59,
76.2,3.64,
77.2,3.69,
78.2,3.73,
79.3,3.78,
80.3,3.83,
81.3,3.88,
82.3,3.93,
83.3,3.97,
84.3,4.02,
85.3,4.07,
86.3,4.11,
87.4,4.16,
88.4,4.21,
89.4,4.33,
90.4,4.1,
91.4,4.21,
92.4,4.31,
93.4,4.42,
94.5,3.86,
95.5,3.97,
96.5,4.06,
97.5,4.15,
98.5,4.23,
99.5,4.33,
100.5,4.44,
101.6,4.51,
102.6,4.33,
103.6,4.44,
104.6,4.51,
105.6,4.51,
106.6,4.51,
107.6,4.51,
108.7,4.51,
109.7,4.51,
110.7,4.51,
111.7,4.51,
112.7,4.51,
113.7,4.51,
114.8,4.51,
115.8,4.51,
116.8,4.51,
117.8,4.51,
118.8,4.51,
119.8,4.51,
120.8,4.51,
121.8,4.51,
122.9,4.51,
123.9,4.51,
124.9,4.51,
125.9,4.51,
126.9,4.51,
127.9,4.51,
128.9,4.51,
129.9,4.51,
130.9,4.51,
131.9,4.51,
133.0,4.51,
134.0,4.51,
135.0,4.51,
136.0,4.51,
137.0,4.51,
138.0,4.51,
139.0,4.51,
140.0,4.51,
141.0,4.51,
142.0,4.51,
144.4,2.46,
148.9,2.69,
149.9,2.29,
151.0,2.12,
152.0,2.16,
153.0,2.28,
154.0,2.37,
155.0,2.13,
156.0,2.13,
157.0,2.17,
158.1,2.13,
159.1,2.22,
160.1,2.13,
161.1,2.18,
162.1,2.28,
163.1,2.13,
164.1,2.16,
165.2,2.25,
166.2,2.22,
167.2,2.34,
168.2,2.29,
169.2,2.27,
170.2,2.34,
171.2,2.45,
172.2,2.53,
173.3,2.64,
174.3,2.67,
175.3,2.73,
176.3,2.67,
177.3,2.74,
178.3,2.85,
179.4,2.97,
208.0,4.08,
209.1,4.13,
210.1,4.18,
211.1,4.13,
212.2,4.16,
213.2,3.72,
214.2,2.43,
215.2,2.16,
216.2,2.24,
217.2,2.36,
218.2,2.3,
219.2,2.42,
220.3,2.38,
221.3,2.45,
222.3,2.43,
223.3,2.54,
224.3,2.43,
225.3,2.4,
226.3,2.17,
227.4,2.17,
228.4,2.22,
229.4,2.25,
230.4,2.22,
231.4,2.23,
232.4,2.29,
233.4,2.23,
234.4,2.3,
235.5,2.22,
236.5,2.21,
237.5,2.25,
238.5,2.17,
239.5,2.23,
240.5,2.25,
241.5,2.25,
242.6,2.26,
243.6,2.26,
244.6,2.27,
245.6,4.02,
246.6,2.45,
247.6,2.46,
248.7,2.47,
249.7,2.5,
250.7,2.52,
251.7,2.54,
252.7,2.54,
253.7,2.54,
254.7,2.54,
255.8,2.55,
256.8,2.57,
257.8,2.57,
258.8,2.58,
259.8,2.59,
260.9,3.01,
261.9,3.01,
262.9,3.01,
263.9,3.04,
264.9,3.06,
265.9,4.08,
267.0,4.33,
268.0,4.33,
269.0,4.33,
270.0,4.33,
271.0,4.33,
272.0,4.33,
273.1,4.34,
274.1,4.34,
275.1,4.34,
276.1,4.34,
277.1,4.34,
278.1,4.34,
279.1,4.34,
280.2,4.34,
281.2,4.34,
282.2,4.34,
283.2,4.33,
284.2,4.33,
285.2,4.33,
286.2,4.33,
287.3,4.33,
288.3,4.33,
289.3,4.33,
290.3,4.33,
291.3,4.33,
292.3,4.33,
293.4,4.33,
294.4,4.33,
295.4,4.33,
296.4,4.33,
297.4,4.09,
298.4,4.77,
299.5,4.69,
300.5,5.15,
301.5,5.59,
302.5,6.03,
303.5,6.48,
304.5,6.72,
305.5,6.74,
306.5,4.48,
307.6,5.61,
308.6,4.77,
309.6,5.85,
310.6,7.23,
