# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,12.83,1.25
1.1,12.83,1.25
2.3,12.83,1.06
3.4,12.83,1.24
4.6,12.83,1.27
5.7,12.83,1.27
6.8,12.83,1.27
8.0,0.99,0.82
9.1,1.38,0.82
10.2,1.43,0.82
11.4,1.48,0.82
12.5,1.52,0.82
13.6,1.62,1.07
14.8,1.7,1.07
15.9,1.75,1.67
17.1,1.8,1.67
18.2,1.86,1.67
19.3,2.11,1.83
20.5,2.88,1.26
21.6,3.32,1.3
22.7,3.31,1.3
23.9,3.63,1.43
25.1,4.19,1.43
26.3,4.74,1.43
27.4,5.31,1.43
28.6,5.69,1.43
29.8,4.08,2.08
31.0,3.5,3.55
32.1,5.17,1.96
33.2,7.04,3.77
34.4,7.3,4.87
35.5,4.78,5.3
36.7,4.79,5.4
37.8,4.79,5.4
39.0,4.79,5.3
40.1,4.79,5.4
41.2,4.79,5.3
42.4,6.69,5.46
43.5,8.78,1.49
44.7,9.34,1.49
45.9,9.85,1.49
47.0,10.4,1.49
48.2,10.92,1.49
49.4,9.21,1.99
50.5,8.66,2.55
51.7,9.87,1.43
52.8,9.87,1.43
54.0,9.87,1.43
55.1,9.87,1.43
56.3,9.87,1.43
57.4,9.87,1.43
58.6,10.03,1.43
59.7,11.18,2.74
60.9,10.1,3.5
62.0,10.02,3.5
63.2,9.97,3.5
64.3,9.97,3.5
65.5,9.97,3.34
66.6,9.97,3.34
67.7,9.99,3.34
68.9,9.97,3.34
70.0,9.97,3.34
71.1,10.03,3.34
72.3,10.0,3.34
73.4,9.98,3.34
74.6,10.02,3.34
75.7,9.99,3.34
76.8,9.98,3.34
78.0,10.01,3.34
79.1,9.98,3.34
80.3,9.98,3.34
81.4,9.99,3.34
82.5,9.98,3.34
83.7,9.98,3.34
84.8,9.99,3.34
86.0,9.98,3.34
87.1,9.99,3.34
88.2,9.99,3.34
89.4,9.99,3.34
90.5,10.02,3.34
91.7,9.99,3.34
92.8,10.07,3.72
93.9,10.07,3.72
95.1,10.07,3.72
96.2,10.1,3.72
97.4,10.07,3.72
98.5,10.08,3.72
99.7,10.08,3.72
100.8,10.15,3.72
101.9,10.07,3.72
103.1,10.07,3.72
104.2,10.16,3.72
105.3,10.07,3.72
106.5,10.07,3.72
107.6,10.11,3.72
108.8,10.14,3.72
109.9,10.11,3.72
111.0,10.11,3.72
112.2,10.07,3.72
113.3,10.08,3.72
114.5,10.08,3.72
115.6,10.17,3.72
116.7,10.12,3.72
117.9,10.12,3.72
119.0,10.17,3.72
120.2,10.07,3.72
121.3,10.07,3.64
122.5,10.07,3.62
123.6,10.07,3.65
124.8,10.07,3.65
125.9,10.07,3.65
127.1,10.57,3.69
128.2,12.3,1.31
129.4,12.64,1.15
130.5,12.58,1.15
131.6,12.58,1.15
132.8,12.58,1.15
134.0,12.58,1.15
135.1,12.58,1.15
136.2,12.58,1.15
137.4,12.58,1.15
138.5,12.58,1.15
139.7,12.58,1.15
140.8,12.58,1.15
142.0,12.58,1.15
143.1,12.58,1.15
144.2,12.58,1.15
145.4,12.58,1.15
146.5,12.58,1.15
147.6,12.58,1.15
148.8,12.58,1.15
149.9,12.58,1.15
151.1,12.58,1.15
152.2,12.58,1.15
153.3,12.58,1.15
154.5,12.58,1.15
155.6,12.58,1.15
156.7,12.5,1.16
157.9,12.5,1.17
159.0,12.5,1.18
160.2,12.5,1.19
161.3,12.5,1.19
162.5,12.5,1.19
163.6,12.5,1.19
164.7,12.5,1.19
165.9,12.5,1.19
167.0,12.5,1.28
