# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,12.48,1.02
1.1,12.48,1.02
2.3,12.48,1.02
3.4,12.48,1.02
4.5,12.48,1.03
5.7,12.48,1.03
6.8,12.48,1.03
7.9,13.1,1.09
9.1,13.11,1.03
10.2,13.16,1.12
11.3,13.16,1.12
12.5,12.07,2.22
13.6,13.13,1.25
14.8,10.69,3.72
15.9,9.39,5.06
17.0,9.39,5.09
18.1,9.39,5.15
19.3,9.39,5.12
20.4,9.39,5.12
21.5,9.39,5.06
22.7,11.7,5.22
23.8,12.18,2.19
24.9,12.52,1.94
26.1,10.89,3.56
27.2,10.89,3.56
28.4,10.89,3.56
29.5,10.89,3.6
30.6,10.89,3.6
31.8,11.81,3.6
32.9,13.08,1.61
34.0,13.08,2.86
35.2,13.29,1.17
36.3,13.29,1.17
37.4,13.29,1.17
