# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,13.31,1.51
1.1,13.31,1.29
2.3,13.31,1.32
3.4,13.31,1.45
4.6,13.31,1.51
5.7,13.31,1.51
6.8,13.31,1.51
8.0,13.39,1.52
9.1,13.79,1.52
10.2,1.33,0.85
11.4,1.71,0.85
12.5,1.76,0.85
13.6,1.8,0.85
14.8,1.84,0.85
15.9,1.93,1.1
17.0,2.04,1.1
18.2,2.26,1.1
19.3,2.27,1.71
20.5,2.31,1.71
21.6,2.36,1.71
22.7,2.4,1.71
23.9,2.84,1.89
25.0,3.89,1.83
26.2,4.12,1.83
27.3,4.12,1.83
28.4,4.12,1.83
29.6,4.12,1.83
30.7,4.12,1.83
31.8,4.12,1.83
33.0,4.12,1.83
34.1,4.12,1.83
35.2,4.12,1.83
36.4,4.12,1.83
37.5,4.12,1.83
38.7,4.12,1.83
39.8,4.12,1.83
40.9,4.12,1.83
42.1,4.12,1.83
43.2,4.12,1.83
44.3,4.12,1.83
45.5,4.12,1.83
46.6,4.12,1.83
47.8,4.12,1.83
48.9,4.12,1.83
50.0,4.12,1.83
51.2,4.12,1.83
52.3,4.12,1.83
53.5,4.12,1.83
54.6,4.12,1.83
55.7,4.12,1.83
56.9,4.12,1.83
58.0,1.59,0.85
59.2,1.99,0.85
60.3,2.02,0.85
61.5,2.08,0.85
62.6,2.11,0.85
63.7,2.33,0.96
64.9,2.49,0.96
66.0,2.84,0.96
67.2,2.88,0.96
68.3,2.94,0.97
69.4,3.02,0.97
70.6,3.11,1.01
71.7,3.65,1.01
72.9,4.2,1.01
74.1,4.76,1.01
75.2,5.32,1.01
76.4,3.09,1.01
77.5,4.13,2.23
78.7,3.33,2.4
79.8,4.95,1.16
80.9,6.31,2.69
82.1,8.1,4.44
83.2,5.03,4.78
84.4,5.08,5.19
85.5,5.08,5.22
86.7,5.08,5.13
87.8,5.08,5.19
89.0,5.08,5.19
90.1,5.08,5.16
91.2,7.98,5.32
92.4,9.61,1.16
93.5,7.88,2.41
94.7,8.15,2.47
95.8,5.38,5.13
97.0,5.38,5.19
98.1,5.38,5.19
99.3,5.38,5.19
100.4,5.38,5.29
101.5,5.38,5.1
102.7,6.6,5.29
103.8,9.39,1.19
105.0,8.31,2.29
106.1,9.06,1.66
107.3,5.82,4.69
108.4,5.38,5.13
109.6,5.38,5.16
110.7,5.38,5.19
111.9,5.38,5.19
113.0,5.38,5.19
114.1,5.53,5.32
115.3,9.08,1.29
116.4,9.11,1.48
117.5,8.49,3.44
118.7,6.77,3.85
119.8,5.38,5.16
121.0,5.38,5.16
122.1,5.38,5.16
123.3,5.38,5.16
124.4,5.38,5.16
125.6,5.38,5.16
126.7,8.31,5.32
127.8,9.56,1.32
129.0,7.88,3.44
130.2,7.38,3.32
131.3,5.38,5.16
132.4,5.38,5.16
133.6,5.38,5.23
134.7,5.38,5.19
135.9,5.38,5.19
137.0,5.38,5.16
138.2,7.36,5.32
139.3,9.69,1.35
140.5,7.88,2.57
141.6,8.19,2.54
142.8,5.38,5.16
143.9,5.38,5.16
145.1,5.38,5.16
146.2,5.38,5.16
147.4,5.38,5.16
148.5,5.38,5.16
149.6,6.34,5.32
150.8,9.34,1.38
152.0,8.35,2.32
153.1,9.11,1.73
154.2,5.82,4.73
155.4,5.38,5.19
156.5,5.38,5.19
157.6,5.38,5.19
158.8,5.38,5.19
159.9,5.38,5.19
161.1,5.46,5.32
162.2,9.04,1.44
163.4,9.41,1.44
164.5,9.98,1.44
165.7,10.54,1.44
166.9,11.12,1.44
168.0,9.12,1.44
169.2,9.55,2.48
170.3,10.31,1.48
171.4,10.32,1.48
172.6,10.32,1.48
173.7,10.32,1.48
174.9,10.32,1.48
176.0,10.32,1.48
177.1,10.32,1.48
178.3,10.96,2.13
179.4,12.5,3.41
180.6,10.41,3.46
181.7,10.43,3.46
182.8,10.42,3.46
184.0,10.45,3.46
185.1,10.43,3.46
186.3,10.42,3.46
187.4,10.49,3.46
188.5,10.42,3.46
189.7,10.42,3.46
190.8,10.42,3.46
192.0,10.43,3.46
193.1,10.43,3.46
194.2,10.42,3.46
195.4,10.46,3.46
196.5,10.43,3.46
197.6,10.51,3.46
198.8,10.46,3.46
199.9,10.43,3.46
201.1,10.5,3.46
202.2,10.45,3.46
203.3,10.43,3.46
204.5,10.48,3.46
205.6,10.44,3.46
206.8,10.44,3.46
207.9,10.46,3.46
209.0,10.44,3.46
210.2,10.44,3.46
211.3,10.49,3.62
212.5,10.53,4.41
213.6,10.52,4.41
214.7,10.53,4.41
215.9,10.54,4.41
217.0,10.51,4.41
218.2,10.56,4.41
219.3,10.52,4.41
220.4,10.57,4.41
221.6,10.54,4.41
222.7,10.53,4.41
223.9,10.58,4.41
225.0,10.52,4.41
226.2,10.52,4.41
227.3,10.59,4.41
228.4,10.52,4.41
229.6,10.53,4.41
230.7,10.53,4.41
231.9,10.57,4.41
233.0,10.59,4.41
234.2,10.57,4.41
235.3,10.57,4.41
236.4,10.52,4.41
237.6,10.53,4.41
238.7,10.53,4.41
239.9,10.53,4.41
241.0,10.53,4.41
242.1,10.53,4.2
243.3,10.53,4.17
244.4,10.53,4.2
245.6,10.53,4.2
246.7,10.53,3.8
247.9,10.53,4.2
249.0,10.53,4.23
250.2,10.53,3.8
251.3,11.89,4.17
252.5,12.01,2.39
253.6,12.01,2.42
254.8,10.54,4.45
255.9,10.54,4.45
257.0,10.54,4.48
258.2,10.54,4.48
259.3,10.54,4.48
260.5,10.54,3.98
261.6,10.54,4.42
262.8,10.54,4.42
263.9,10.54,4.42
265.1,10.54,3.98
266.2,10.92,4.42
267.4,12.78,1.55
268.5,12.78,1.61
269.7,10.54,3.83
270.8,10.54,3.89
272.0,10.54,3.89
273.1,10.54,3.89
274.3,10.54,3.89
275.4,11.3,3.83
276.6,12.52,1.92
277.7,12.53,1.98
278.9,10.54,4.2
280.0,10.54,4.27
281.1,10.54,4.27
282.3,10.54,4.3
283.4,10.54,4.3
284.6,10.54,4.23
285.8,10.54,4.23
286.9,10.54,4.3
288.1,10.54,3.86
289.2,11.23,4.27
290.3,12.64,1.8
291.5,12.73,1.83
292.6,10.54,4.2
293.8,10.54,4.2
294.9,10.54,4.2
296.1,10.54,4.2
297.2,10.54,3.8
298.4,10.54,4.17
299.5,10.54,4.17
300.7,10.54,4.2
301.8,12.43,3.8
302.9,11.59,2.48
304.1,11.65,2.7
305.2,10.54,3.64
306.4,10.54,3.64
307.5,10.54,3.61
308.6,10.54,3.64
309.8,10.54,3.64
310.9,13.1,1.52
312.1,12.13,2.52
313.2,10.54,3.77
314.4,10.54,3.99
315.6,10.54,3.99
316.7,10.54,3.61
317.8,10.54,3.96
319.0,10.54,3.99
320.1,10.7,3.96
321.3,12.75,2.53
322.4,12.77,2.53
323.5,12.77,4.18
324.7,12.77,4.18
325.8,12.77,3.14
327.0,12.82,3.42
328.1,13.1,1.36
329.3,12.83,2.96
330.4,13.12,1.36
331.5,13.04,1.55
332.7,12.83,2.33
333.8,12.73,1.52
335.0,12.89,1.52
336.1,13.01,1.52
337.3,13.18,1.52
338.4,13.3,1.52
339.5,13.4,1.52
340.7,13.71,1.52
341.9,13.74,1.52
343.0,13.87,1.52
344.2,14.17,1.52
345.4,14.28,1.52
346.5,14.37,1.52
347.7,14.55,1.52
348.9,15.08,1.52
350.0,15.32,1.52
351.2,15.39,1.52
352.3,14.44,1.52
353.5,14.38,1.53
354.6,14.54,1.53
355.7,14.74,1.53
356.9,14.8,1.53
358.0,14.82,1.53
359.1,14.85,1.53
360.3,14.89,1.53
361.4,14.99,1.78
362.6,15.02,1.78
363.7,15.13,1.78
364.8,15.2,1.78
366.0,15.45,1.78
367.1,15.48,1.78
368.3,15.63,1.78
369.4,15.89,1.78
370.5,15.72,1.78
371.7,15.95,1.78
372.8,15.97,1.78
374.0,16.08,1.78
375.1,16.28,1.78
376.3,16.35,1.78
377.4,16.5,1.78
378.6,16.67,1.78
379.7,16.54,1.78
380.8,16.54,1.78
382.0,16.83,1.78
383.1,17.11,1.78
384.3,17.27,1.78
385.4,17.76,1.78
386.5,18.13,1.78
387.7,18.49,1.78
388.8,18.64,1.78
390.0,18.79,1.78
391.1,18.79,1.78
392.2,18.84,1.78
393.4,18.84,1.78
394.5,19.39,1.78
395.7,19.08,1.78
396.8,19.31,1.78
397.9,18.87,1.78
399.1,19.14,1.79
400.2,19.14,1.79
401.3,19.51,1.79
402.5,19.51,1.79
403.6,20.75,1.79
404.8,20.41,1.79
405.9,20.68,1.79
407.1,20.91,1.79
408.2,20.78,1.79
409.4,20.63,1.79
410.5,20.43,1.79
411.7,21.11,1.79
412.8,21.45,1.79
414.0,21.41,1.79
415.1,21.66,1.79
416.3,21.31,1.79
417.4,20.44,1.89
418.6,20.44,1.89
419.7,20.44,1.89
420.8,20.44,1.89
422.0,20.44,1.89
