# total_ram_gb=30.0
t,ram_gb,vram_gb
0.1,10.88,0.59
1.3,10.91,0.58
2.5,10.99,0.58
3.8,11.01,0.58
5.0,11.16,0.71
6.2,11.23,0.7
7.4,11.29,0.71
8.7,11.35,0.71
9.9,11.38,0.78
11.1,11.49,0.82
12.4,11.57,0.92
13.6,11.65,0.93
14.9,11.71,0.93
16.1,11.84,0.98
17.4,12.02,0.99
18.6,12.25,0.99
19.8,12.32,1.0
21.1,12.23,1.01
22.3,12.31,1.0
23.5,12.45,1.0
24.7,12.72,1.0
25.9,13.07,0.99
27.2,13.14,0.99
28.4,13.13,0.99
29.7,13.05,0.99
30.9,13.18,0.99
32.1,13.3,1.0
33.3,13.41,1.15
34.5,13.45,1.14
35.8,13.38,1.13
37.0,13.38,1.15
38.2,13.39,1.14
39.4,13.5,1.19
40.7,13.52,1.3
42.1,13.76,1.3
44.0,13.96,1.3
46.4,13.98,1.3
47.9,14.09,1.3
49.3,14.24,1.3
50.6,14.28,1.31
52.2,14.33,1.3
56.0,14.6,1.31
58.8,14.81,1.3
60.4,14.89,1.3
62.2,15.03,1.3
64.0,15.02,1.3
66.4,14.84,1.3
68.3,14.9,1.23
70.8,15.1,1.24
72.6,15.3,1.17
74.5,15.34,
82.4,16.03,1.17
84.9,16.11,1.19
88.1,16.39,1.18
89.8,16.59,1.17
91.6,16.74,1.18
93.6,16.9,1.17
95.8,17.09,1.18
97.6,17.28,1.17
99.6,17.39,1.18
102.3,17.53,1.17
105.1,17.79,1.17
107.0,17.93,1.18
108.8,18.08,1.17
110.1,18.16,1.17
111.9,18.24,1.17
114.6,18.35,1.17
116.5,18.39,1.18
118.3,18.33,1.18
120.1,18.35,1.17
121.7,18.39,1.17
123.1,18.41,1.17
124.9,18.41,1.19
126.8,18.48,1.17
128.4,18.49,1.18
129.9,18.52,1.17
131.6,18.59,1.18
133.2,18.75,1.18
134.8,18.88,1.18
136.3,18.93,1.18
137.8,19.0,1.17
139.3,18.98,1.18
140.7,18.97,1.17
142.1,18.86,1.17
143.5,18.75,1.17
144.8,18.59,1.17
146.0,18.45,1.17
147.2,18.29,1.17
148.5,18.17,1.17
149.8,18.02,1.17
151.1,17.9,1.17
152.3,17.75,1.17
153.5,17.62,1.17
154.8,17.48,1.17
156.0,17.3,1.18
157.2,17.11,1.17
158.5,16.95,1.18
159.7,16.79,1.17
161.0,16.64,1.18
162.2,16.5,1.17
163.5,16.31,1.19
164.8,16.17,1.17
166.0,16.17,1.18
167.2,16.11,1.17
168.5,16.1,1.18
169.7,16.09,1.17
171.0,16.07,1.17
172.2,16.07,1.17
173.5,16.06,1.17
174.8,16.03,1.17
176.1,16.01,1.17
177.3,16.02,1.17
178.6,16.01,1.18
179.9,15.98,1.17
181.2,15.98,1.18
182.4,15.97,1.17
183.7,15.96,1.18
185.0,15.93,1.17
186.2,15.92,1.18
187.5,15.91,1.17
188.8,15.9,1.18
190.1,15.89,1.17
191.3,15.87,1.18
192.6,15.88,1.17
193.9,15.86,1.17
195.2,15.84,1.18
196.5,15.83,1.18
197.7,15.83,1.18
199.0,15.83,1.18
200.3,15.82,1.18
201.6,15.81,1.17
202.9,15.79,1.19
204.1,15.78,1.17
205.4,15.78,1.18
206.7,15.76,1.17
208.0,15.76,1.17
209.2,15.76,1.17
210.6,15.76,1.17
211.8,15.71,1.17
213.1,15.72,1.17
214.4,15.76,1.17
215.7,15.73,1.17
217.0,15.81,1.17
218.2,15.78,1.17
