# total_ram_gb=15.9
t,ram_gb,vram_gb
0.0,10.59,0.48
1.1,0.74,0.48
2.3,0.88,0.49
3.4,0.94,0.5
4.5,1.07,0.62
5.6,1.03,0.62
6.7,1.08,0.62
7.8,1.14,1.22
8.9,1.2,1.22
10.1,1.39,1.32
11.2,2.69,0.85
12.3,2.8,0.92
13.4,3.49,0.93
14.5,4.29,0.93
15.6,5.02,0.93
16.7,3.08,1.18
17.8,3.51,2.06
18.9,4.12,0.94
20.0,4.89,1.72
21.1,5.95,2.75
22.2,6.99,3.78
23.3,4.78,4.41
24.4,4.14,4.84
25.5,4.14,4.84
26.6,4.14,4.84
27.7,4.14,4.84
28.9,4.14,4.84
30.0,4.14,4.84
31.1,4.14,4.84
32.2,4.14,4.84
33.3,4.14,4.84
34.4,8.0,1.0
35.5,8.77,1.0
36.6,9.63,1.0
37.7,8.58,1.0
38.8,8.86,1.75
39.9,8.17,2.07
41.1,9.21,0.94
42.2,9.21,0.94
43.3,9.21,0.94
44.4,9.25,1.03
45.5,10.13,1.97
46.6,10.99,2.82
47.7,9.12,3.19
48.8,9.13,3.32
49.9,9.13,3.38
51.1,9.13,3.32
52.2,9.13,3.38
53.3,10.08,3.32
54.4,11.24,0.98
55.5,11.18,0.98
56.6,11.39,1.07
57.7,11.41,0.82
58.8,11.41,0.82
59.9,11.41,0.82
61.0,11.41,0.82
62.1,11.41,0.82
63.2,11.41,0.82
64.3,11.41,0.82
65.4,11.41,0.82
66.5,11.41,0.82
67.6,11.41,0.82
68.7,11.41,0.82
69.8,11.41,0.82
70.9,11.41,0.82
72.0,11.35,1.1
73.1,11.29,1.39
74.2,11.29,2.62
75.3,11.69,0.92
76.4,11.67,0.92
77.5,11.51,0.92
78.6,11.51,0.96
79.7,11.51,0.96
80.8,11.54,0.96
81.9,11.53,0.95
83.0,11.54,0.95
84.2,11.54,0.95
85.2,11.54,0.95
86.3,11.55,0.95
87.4,11.53,0.95
88.5,11.56,0.95
89.6,11.56,0.95
90.8,11.63,0.95
91.9,11.76,0.95
93.0,11.89,0.95
94.1,11.95,0.99
95.2,11.95,0.99
96.3,11.95,0.99
97.4,11.73,0.9
98.5,11.73,0.9
99.6,11.73,0.9
100.7,11.73,0.9
101.8,11.73,0.9
102.9,11.73,0.9
104.0,11.73,0.9
105.1,11.73,0.9
