# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,12.63,
1.0,12.63,
2.0,12.63,
3.1,12.63,
4.1,12.63,
5.1,12.63,
6.1,12.63,
7.1,12.63,
8.1,1.04,
9.1,1.36,
10.1,1.39,
11.2,1.52,
12.2,1.53,
13.2,1.58,
14.2,1.61,
15.2,1.78,
16.2,1.74,
17.2,1.78,
18.3,1.82,
19.3,2.19,
20.3,3.1,
21.3,3.25,
22.3,3.25,
23.3,3.49,
24.3,3.98,
25.4,4.48,
26.4,4.99,
27.4,5.5,
28.4,3.86,
29.4,4.27,
30.5,3.41,
31.5,4.69,
32.5,6.37,
33.5,7.94,
34.5,4.69,
35.5,4.7,
36.5,4.71,
37.6,4.71,
38.6,4.71,
39.6,4.71,
40.6,4.71,
41.6,4.71,
42.6,4.71,
43.6,6.39,
44.6,8.61,
45.7,9.12,
46.7,9.63,
47.7,10.12,
48.7,10.62,
49.7,8.58,
50.8,9.72,
51.8,9.29,
52.8,9.79,
53.8,9.79,
54.8,9.79,
55.9,9.79,
56.9,9.79,
57.9,9.79,
58.9,9.91,
59.9,10.54,
60.9,11.93,
62.0,9.89,
63.0,9.89,
64.0,9.89,
65.0,9.89,
66.0,9.89,
67.0,9.89,
68.1,11.0,
69.1,12.11,
70.1,12.47,
71.1,12.39,
72.1,12.39,
73.1,12.39,
74.2,12.39,
75.2,12.39,
76.2,12.39,
77.2,12.39,
78.2,12.39,
79.2,12.39,
80.2,12.39,
81.2,12.39,
82.2,12.39,
83.2,12.39,
84.2,12.39,
85.2,12.39,
86.3,12.39,
87.3,12.39,
88.3,12.39,
89.3,12.39,
90.3,12.39,
91.3,12.39,
92.3,12.39,
93.3,12.39,
94.3,12.39,
95.3,12.39,
96.3,12.39,
97.4,12.31,
98.4,12.31,
99.4,12.31,
100.4,12.31,
101.4,12.31,
102.4,12.31,
103.4,12.31,
104.4,12.31,
105.4,12.31,
106.4,12.31,
