# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,12.31,
1.0,12.3,
2.0,12.3,
3.1,12.3,
4.1,12.3,
5.1,12.3,
6.1,12.3,
7.1,12.3,
8.1,12.78,
9.1,12.95,
10.2,12.99,
11.2,12.99,
12.2,12.44,
13.2,11.91,
14.2,11.75,
15.2,9.56,
16.2,9.22,
17.2,9.22,
18.3,9.22,
19.3,9.22,
20.3,9.22,
21.3,9.22,
22.3,9.22,
23.3,9.22,
24.4,12.31,
25.4,11.99,
26.4,12.61,
27.4,10.71,
28.4,10.71,
29.4,10.71,
30.5,10.71,
31.5,10.71,
32.5,10.71,
33.5,12.93,
34.5,12.91,
35.5,12.91,
36.5,13.12,
37.6,13.12,
38.6,13.12,
39.6,13.12,
40.6,13.12,
41.6,13.12,
42.6,13.12,
43.6,13.12,
44.6,13.12,
45.6,13.12,
46.7,13.12,
47.7,13.12,
48.7,13.12,
49.7,13.12,
50.7,13.12,
51.7,13.12,
52.7,13.12,
53.7,13.12,
54.7,13.12,
55.7,13.12,
56.7,13.12,
57.7,13.12,
58.8,13.12,
59.8,13.12,
60.8,13.12,
61.8,13.12,
62.8,13.12,
63.8,13.12,
64.8,13.12,
65.8,13.12,
66.8,13.12,
67.9,13.12,
68.9,13.12,
69.9,13.12,
70.9,13.12,
71.9,13.12,
72.9,13.12,
73.9,13.12,
74.9,13.12,
75.9,13.12,
76.9,13.12,
78.0,13.12,
79.0,13.12,
80.0,13.12,
81.0,13.12,
82.0,13.12,
83.0,13.12,
84.0,13.12,
85.0,13.12,
86.0,13.12,
87.0,13.12,
88.1,13.12,
89.1,13.12,
90.1,13.12,
91.1,13.12,
92.1,13.12,
93.1,13.12,
94.1,13.12,
95.1,13.12,
96.1,13.12,
97.1,13.12,
98.2,13.12,
99.2,13.12,
