# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,13.15,1.41
1.1,13.15,1.22
2.3,13.15,1.29
3.4,13.15,1.35
4.6,13.15,1.41
5.7,13.15,1.41
6.8,13.15,1.41
8.0,13.26,1.42
9.1,13.62,1.42
10.2,1.37,0.85
11.4,1.7,0.85
12.5,1.73,0.85
13.7,1.77,0.85
14.8,1.81,0.85
15.9,1.94,1.1
17.1,2.02,1.1
18.2,3.56,1.1
19.4,2.24,1.71
20.5,2.28,1.71
21.6,2.33,1.71
22.8,2.46,1.81
23.9,2.92,2.23
25.1,4.05,1.8
26.2,4.05,1.8
27.4,4.05,1.8
28.5,4.05,1.8
29.6,4.05,1.8
30.8,4.05,1.8
31.9,4.05,1.8
33.1,4.05,1.8
34.2,4.05,1.8
35.3,4.05,1.8
36.5,4.05,1.8
37.6,4.05,1.8
38.8,4.05,1.8
39.9,4.05,1.8
41.0,4.05,1.8
42.2,4.05,1.8
43.3,4.05,1.8
44.5,4.05,1.8
45.6,4.05,1.8
46.8,4.05,1.8
47.9,4.05,1.8
49.0,4.05,1.8
50.2,4.05,1.8
51.3,4.05,1.8
52.5,4.05,1.8
53.6,4.05,1.8
54.8,4.05,1.8
55.9,4.05,1.8
57.0,4.38,1.8
58.2,4.71,1.8
59.3,5.16,1.8
60.5,5.73,1.8
61.7,6.31,1.66
62.8,6.87,1.66
64.0,7.4,1.66
65.2,5.15,1.19
66.3,5.77,2.32
67.4,6.46,1.16
68.6,7.63,2.47
69.7,9.46,4.26
70.9,6.86,4.69
72.0,6.51,5.16
73.1,6.51,5.23
74.3,6.51,5.1
75.4,6.51,5.17
76.5,6.51,5.17
77.7,6.51,5.13
78.8,9.47,5.29
80.0,11.0,1.13
81.1,9.2,2.45
82.3,9.36,2.57
83.4,6.7,5.13
84.5,6.7,5.17
85.7,6.7,5.2
86.8,6.7,5.17
88.0,6.7,5.2
89.1,6.7,5.13
90.2,8.12,5.32
91.4,10.91,1.17
92.5,9.55,2.29
93.7,10.33,1.67
94.8,7.13,4.73
96.0,6.7,5.23
97.1,6.7,5.23
98.3,6.7,5.17
99.4,6.7,5.26
100.5,6.7,5.26
101.7,7.0,5.29
102.8,10.43,1.23
104.0,10.43,1.45
105.1,9.81,3.45
106.2,8.14,3.82
107.4,6.7,5.2
108.5,6.7,5.2
109.7,6.7,5.23
110.8,6.7,5.23
112.0,6.7,5.23
113.1,6.7,5.2
114.2,9.56,5.2
115.4,11.04,1.23
116.6,9.2,3.42
117.7,8.8,3.17
118.8,6.7,5.2
120.0,6.7,5.2
121.1,6.7,5.2
122.2,6.7,5.2
123.4,6.7,5.23
124.5,6.7,5.17
125.6,8.54,5.36
126.8,10.96,1.26
128.0,9.21,2.45
129.1,9.85,2.17
130.2,6.85,5.07
131.4,6.7,5.23
132.5,6.7,5.23
133.7,6.7,5.2
134.8,6.7,5.23
135.9,6.7,5.26
137.1,7.33,5.36
138.2,10.44,1.32
139.3,10.26,1.76
140.5,10.19,1.39
141.6,7.81,4.17
142.8,6.7,5.2
143.9,6.7,5.2
145.1,6.7,5.17
146.2,6.7,5.2
147.3,6.7,5.2
148.5,6.7,5.36
149.6,9.88,5.36
150.7,10.65,1.32
151.9,11.24,1.32
153.1,11.78,1.32
154.2,12.36,1.32
155.4,10.58,1.32
156.6,11.62,2.39
157.7,11.56,1.36
158.8,11.64,1.36
159.9,11.64,1.36
161.1,11.64,1.36
162.2,11.64,1.36
163.4,11.64,1.36
164.5,11.64,1.36
165.6,11.94,1.73
166.8,13.54,3.2
167.9,11.72,3.59
169.1,11.72,4.38
170.2,11.72,4.14
171.3,11.72,4.14
172.5,11.72,4.2
173.6,11.72,4.2
174.8,11.72,4.2
175.9,11.72,4.2
177.1,11.72,3.77
178.2,12.62,4.2
179.4,14.24,1.33
180.5,13.6,2.45
181.7,11.75,3.95
182.8,11.75,4.39
184.0,11.75,4.39
185.2,11.75,4.45
186.3,11.75,4.45
187.5,11.75,4.45
188.6,11.75,4.42
189.7,11.75,4.42
190.9,11.75,4.42
192.0,11.75,3.98
193.2,11.81,4.45
194.3,14.27,1.42
195.5,13.21,2.45
196.6,11.81,3.55
197.8,11.75,3.86
199.0,11.75,3.86
200.1,11.75,3.86
201.3,11.75,3.86
202.4,12.55,3.83
203.6,13.89,1.67
204.7,13.99,1.7
205.9,11.75,3.92
207.0,11.75,4.27
208.2,11.75,4.3
209.3,11.75,4.3
210.4,11.75,4.33
211.6,11.75,4.23
212.7,11.75,4.23
213.9,11.75,4.33
215.1,11.75,3.95
216.2,12.16,4.27
217.4,13.99,1.52
218.5,13.99,1.48
219.7,11.75,3.77
220.8,11.75,4.14
222.0,11.75,4.14
223.1,11.75,4.17
224.3,11.75,4.14
225.4,11.75,4.17
226.5,11.75,4.17
227.7,11.75,4.14
228.9,14.0,1.39
230.0,12.79,2.45
231.1,12.23,3.23
232.3,11.75,3.61
233.4,11.75,3.64
234.6,11.75,3.61
235.7,11.75,3.61
236.9,13.14,3.61
238.0,13.21,2.3
239.1,13.24,2.3
240.3,11.75,3.95
241.4,11.75,3.95
242.6,11.75,3.98
243.7,11.75,3.92
244.9,11.75,3.98
246.0,11.75,3.95
247.2,13.99,1.55
248.3,13.95,2.53
249.4,13.95,2.89
250.6,13.95,4.18
251.7,13.95,6.28
252.9,14.15,1.39
254.0,13.99,2.05
255.2,13.99,1.8
256.3,13.99,2.49
257.4,13.99,5.67
258.6,13.99,1.74
259.7,14.21,1.49
260.9,13.96,1.49
262.0,13.99,1.49
263.2,14.01,1.49
264.3,14.22,1.49
265.4,14.27,1.49
266.6,14.3,1.49
267.7,14.34,1.49
268.9,14.38,1.5
270.0,14.49,1.74
271.2,14.57,1.74
272.3,14.69,1.74
273.4,14.91,1.74
274.6,14.98,1.74
275.7,15.14,1.74
276.9,15.13,1.74
278.0,15.22,1.74
279.1,15.21,1.74
280.3,15.37,1.74
281.4,15.51,1.74
282.6,15.59,1.74
283.7,15.7,1.74
284.8,15.88,1.74
286.0,15.88,1.74
287.1,16.01,1.74
288.3,16.01,1.74
289.4,16.12,1.74
290.5,16.37,1.74
291.7,16.61,1.74
292.8,17.15,1.74
293.9,17.3,1.74
